group_model,condition,topic_id,model_a,model_b,role_a,role_b,seed,conv_id,group_index,task_index
llama3-8b,self_play,school_uniforms,llama3-8b,llama3-8b,supporter,opposer,0,q1__school_uniforms__self_play__llama3_8b__llama3_8b__sup_opp__s0__2df45ea76d,4,122
llama3-8b,self_play,social_media,llama3-8b,llama3-8b,opposer,supporter,0,q1__social_media__self_play__llama3_8b__llama3_8b__opp_sup__s0__de775c4b2e,4,119
llama3-8b,self_play,social_media,llama3-8b,llama3-8b,supporter,opposer,0,q1__social_media__self_play__llama3_8b__llama3_8b__sup_opp__s0__7c7d84d19b,4,118
llama3-8b,self_play,zoos,llama3-8b,llama3-8b,opposer,supporter,0,q1__zoos__self_play__llama3_8b__llama3_8b__opp_sup__s0__f20252ce9d,4,125
llama3-8b,self_play,zoos,llama3-8b,llama3-8b,supporter,opposer,0,q1__zoos__self_play__llama3_8b__llama3_8b__sup_opp__s0__a4cdf85ff4,4,124
mistral-7b,mixed_play,death_penalty,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__23b762f0a7,5,161
mistral-7b,mixed_play,death_penalty,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__9ede06d28a,5,160
mistral-7b,mixed_play,electric_vehicles,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__71f1ddc420,5,169
mistral-7b,mixed_play,electric_vehicles,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__958cb4a62a,5,168
mistral-7b,mixed_play,four_day_workweek,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__f0325c437f,5,165
mistral-7b,mixed_play,four_day_workweek,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__7aaddb23c1,5,164
mistral-7b,mixed_play,free_college,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__3786d52f64,5,175
mistral-7b,mixed_play,free_college,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__eb14b2ca7f,5,174
mistral-7b,mixed_play,medical_marijuana,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__42d18889fa,5,163
mistral-7b,mixed_play,medical_marijuana,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__60827156ca,5,162
mistral-7b,mixed_play,school_uniforms,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__779c03fbb0,5,171
mistral-7b,mixed_play,school_uniforms,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__b169dde98a,5,170
mistral-7b,mixed_play,social_media,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__14a09c240f,5,167
mistral-7b,mixed_play,social_media,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__ec204d040b,5,166
mistral-7b,mixed_play,zoos,mistral-7b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__mistral_7b__qwen2_5_3b__opp_sup__s0__ce77172289,5,173
mistral-7b,mixed_play,zoos,mistral-7b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__mistral_7b__qwen2_5_3b__sup_opp__s0__fd10356936,5,172
mistral-7b,self_play,death_penalty,mistral-7b,mistral-7b,opposer,supporter,0,q1__death_penalty__self_play__mistral_7b__mistral_7b__opp_sup__s0__21034590de,5,145
mistral-7b,self_play,death_penalty,mistral-7b,mistral-7b,supporter,opposer,0,q1__death_penalty__self_play__mistral_7b__mistral_7b__sup_opp__s0__4556abdcd6,5,144
mistral-7b,self_play,electric_vehicles,mistral-7b,mistral-7b,opposer,supporter,0,q1__electric_vehicles__self_play__mistral_7b__mistral_7b__opp_sup__s0__925514824f,5,153
mistral-7b,self_play,electric_vehicles,mistral-7b,mistral-7b,supporter,opposer,0,q1__electric_vehicles__self_play__mistral_7b__mistral_7b__sup_opp__s0__214974083c,5,152
mistral-7b,self_play,four_day_workweek,mistral-7b,mistral-7b,opposer,supporter,0,q1__four_day_workweek__self_play__mistral_7b__mistral_7b__opp_sup__s0__05f8eabd17,5,149
mistral-7b,self_play,four_day_workweek,mistral-7b,mistral-7b,supporter,opposer,0,q1__four_day_workweek__self_play__mistral_7b__mistral_7b__sup_opp__s0__01b7b60861,5,148
mistral-7b,self_play,free_college,mistral-7b,mistral-7b,opposer,supporter,0,q1__free_college__self_play__mistral_7b__mistral_7b__opp_sup__s0__27118575c1,5,159
mistral-7b,self_play,free_college,mistral-7b,mistral-7b,supporter,opposer,0,q1__free_college__self_play__mistral_7b__mistral_7b__sup_opp__s0__a374bf1451,5,158
mistral-7b,self_play,medical_marijuana,mistral-7b,mistral-7b,opposer,supporter,0,q1__medical_marijuana__self_play__mistral_7b__mistral_7b__opp_sup__s0__76829e2b27,5,147
mistral-7b,self_play,medical_marijuana,mistral-7b,mistral-7b,supporter,opposer,0,q1__medical_marijuana__self_play__mistral_7b__mistral_7b__sup_opp__s0__157bb950aa,5,146
mistral-7b,self_play,school_uniforms,mistral-7b,mistral-7b,opposer,supporter,0,q1__school_uniforms__self_play__mistral_7b__mistral_7b__opp_sup__s0__4f9375e1e9,5,155
mistral-7b,self_play,school_uniforms,mistral-7b,mistral-7b,supporter,opposer,0,q1__school_uniforms__self_play__mistral_7b__mistral_7b__sup_opp__s0__64d0abdd3a,5,154
mistral-7b,self_play,social_media,mistral-7b,mistral-7b,opposer,supporter,0,q1__social_media__self_play__mistral_7b__mistral_7b__opp_sup__s0__5b97ce11f5,5,151
mistral-7b,self_play,social_media,mistral-7b,mistral-7b,supporter,opposer,0,q1__social_media__self_play__mistral_7b__mistral_7b__sup_opp__s0__c85bf50414,5,150
mistral-7b,self_play,zoos,mistral-7b,mistral-7b,opposer,supporter,0,q1__zoos__self_play__mistral_7b__mistral_7b__opp_sup__s0__ca62b42107,5,157
mistral-7b,self_play,zoos,mistral-7b,mistral-7b,supporter,opposer,0,q1__zoos__self_play__mistral_7b__mistral_7b__sup_opp__s0__a728c901a5,5,156
mistral-nemo-12b,mixed_play,death_penalty,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__death_penalty__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__084e8fef9e,6,193
mistral-nemo-12b,mixed_play,death_penalty,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__death_penalty__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__7f0a207b2d,6,192
mistral-nemo-12b,mixed_play,electric_vehicles,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__electric_vehicles__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__62af0565ff,6,201
mistral-nemo-12b,mixed_play,electric_vehicles,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__electric_vehicles__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__7b6b6e4613,6,200
mistral-nemo-12b,mixed_play,four_day_workweek,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__four_day_workweek__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__4a65299fa7,6,197
mistral-nemo-12b,mixed_play,four_day_workweek,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__four_day_workweek__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__2f85b36655,6,196
mistral-nemo-12b,mixed_play,free_college,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__free_college__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__497bad163e,6,207
mistral-nemo-12b,mixed_play,free_college,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__free_college__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__284ae4fcda,6,206
mistral-nemo-12b,mixed_play,medical_marijuana,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__medical_marijuana__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__d654c22d4d,6,195
mistral-nemo-12b,mixed_play,medical_marijuana,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__medical_marijuana__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__d2e64e41d6,6,194
mistral-nemo-12b,mixed_play,school_uniforms,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__school_uniforms__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__e7c23e42e4,6,203
mistral-nemo-12b,mixed_play,school_uniforms,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__school_uniforms__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__3e20e66fd8,6,202
mistral-nemo-12b,mixed_play,social_media,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__social_media__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__d8798dea72,6,199
mistral-nemo-12b,mixed_play,social_media,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__social_media__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__dde1701748,6,198
mistral-nemo-12b,mixed_play,zoos,mistral-nemo-12b,qwen2.5-3b,opposer,supporter,0,q1__zoos__mixed_play__mistral_nemo_12b__qwen2_5_3b__opp_sup__s0__7b1044a79f,6,205
mistral-nemo-12b,mixed_play,zoos,mistral-nemo-12b,qwen2.5-3b,supporter,opposer,0,q1__zoos__mixed_play__mistral_nemo_12b__qwen2_5_3b__sup_opp__s0__2257831d1e,6,204
mistral-nemo-12b,self_play,death_penalty,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__death_penalty__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__255ce07597,6,177
mistral-nemo-12b,self_play,death_penalty,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__death_penalty__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__c49de1b202,6,176
mistral-nemo-12b,self_play,electric_vehicles,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__electric_vehicles__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__c32dcbf773,6,185
mistral-nemo-12b,self_play,electric_vehicles,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__electric_vehicles__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__c113d3524c,6,184
mistral-nemo-12b,self_play,four_day_workweek,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__four_day_workweek__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__e9c216dd4b,6,181
mistral-nemo-12b,self_play,four_day_workweek,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__four_day_workweek__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__c80292c205,6,180
mistral-nemo-12b,self_play,free_college,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__free_college__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__b51fa28660,6,191
mistral-nemo-12b,self_play,free_college,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__free_college__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__bc7ee023f3,6,190
mistral-nemo-12b,self_play,medical_marijuana,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__medical_marijuana__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__e07433dc5d,6,179
mistral-nemo-12b,self_play,medical_marijuana,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__medical_marijuana__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__d30165e488,6,178
mistral-nemo-12b,self_play,school_uniforms,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__school_uniforms__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__dbe712b8cd,6,187
mistral-nemo-12b,self_play,school_uniforms,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__school_uniforms__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__f29276cbad,6,186
mistral-nemo-12b,self_play,social_media,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__social_media__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__3ddd14c016,6,183
mistral-nemo-12b,self_play,social_media,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__social_media__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__e8e1e07c4a,6,182
mistral-nemo-12b,self_play,zoos,mistral-nemo-12b,mistral-nemo-12b,opposer,supporter,0,q1__zoos__self_play__mistral_nemo_12b__mistral_nemo_12b__opp_sup__s0__02f9efe746,6,189
mistral-nemo-12b,self_play,zoos,mistral-nemo-12b,mistral-nemo-12b,supporter,opposer,0,q1__zoos__self_play__mistral_nemo_12b__mistral_nemo_12b__sup_opp__s0__d6fdcc482e,6,188
